profession_name,profession_id,profession_label,_baseline,_baseline_lifesalary,lifesalary,_lifesalary_vs_baseline_old,lifesalary_vs_baseline,_profession_name,_count,P10,_Q1,median,_mean,_Q3,P90,income_range,group
Agronom,Agronom,agronomer,GymnNatv,14626981,15854009,1.0838879875,0.10838879875,Agronom- och hortonomutbildning,2042,22825,26000,30100,34360.77,38200,49942,2.1880394304,
Akademiker totalt,Akademiker_totalt,akademiker totalt,GymnTotal,13964855,16223818,1.1617605768,0.11617605768,Akademiker,525307,22818,25470,29591,34840.79,38242,52588,2.3046717504,
Apotekare,Apotekare,apotekare,GymnNatv,14626981,19554438,1.3368745061,0.13368745061,Apotekarutbildning,1530,25300,30000,36660,41193.53,47042,60660,2.3976284585,
Arbetsterapeut,Arbterap,arbetsterapeuter,GymnSamhv,13815902,12762398,0.9237469982,0.09237469982,Arbetsterapeututbildning,7679,22300,23700,25200,25944.15,27000,30000,1.3452914798,
Arkitekt,Arkitekt,arkitekter,GymnNatv,14626981,15711297,1.0741312237,0.10741312237,Arkitektutbildning,1763,25500,29000,33659,35045.8,39107,47200,1.8509803922,
Bibliotekarie och informationsvetare,Biblinfo,bibliotekarier och informationsvetare,GymnSamhv,13815902,12712786,0.9201560636,0.09201560636,Biblioteks- och informationsvetenskaplig högskoleutbildning,4798,22000,24035,25943,27145.56,28700,33760,1.5345454545,
Biolog,Biolog,biologer,GymnNatv,14626981,13844452,0.9465009902,0.09465009902,Biologutbildning,5179,21462,23600,26358,28520.3,31250,37700,1.7565930482,
Biomedicinsk analytiker,Biomed_analyt,biomedicinsk analytiker,GymnSamhv,13815902,13403030,0.9701161748,0.09701161748,Biomedicinsk analytikerutbildning,9072,22550,24200,26114,27656.91,29061,34601,1.5344124169,
Civilingenjör,Civ_ing,civilingenjörer,GymnNatv,14626981,20137201,1.3767161522,0.13767161522,Civilingenjörsutbildning,53409,27025,32078,40410,45013.42,51171,65240,2.4140610546,
Datavetare,Datavet,datavetare,GymnNatv,14626981,16793941,1.148148138,0.1148148138,Datavetenskaplig utbildning,1977,25897,29700,34500,37536.89,41564,51200,1.9770629803,
Ekonom,Ekonom,ekonomer,GymnSamhv,13815902,19989488,1.4468463948,0.14468463948,Ekonomutbildning,44213,24000,28500,36541,44155.19,49462,70000,2.9166666667,
