block,text,comment
TITLE,Livslön och lönespridning - så hänger det ihop,
INTRO,Möjligheterna till god löneutveckling över livet är störst i yrkesgrupper med stor lönepridning. Yrkesgrupper med lite lönespridning har låga livslöner. Låt oss visa med ett konkret exempel. Börja med att välja en utbildningsgrupp att utgå från.,
CHART1_TOOLTIP,"Yrke: { profession }
Livslön: { lifesalary } milj. kronor",Round the salary to millions + one decimal
CHART2_TOOLTIP,"Yrke: { profession } 
Månadslön, lägst 10%: { P10 } kronor
Månadslön, högsta 10%: { P90 } kronor",
CHART3_TOOLTIP,"Yrke: { profession } 
Lönespridning (P90/P10): { income_range }
Livslön jämfört med gymnasieutbildad: +/- { lifesalary_vs_baseline } procent","income_range: Round to one decimal
lifesalary_vs_baseline: 
1.051 => +5,1%
0,983 => -1,7%"
CHART1_Y_AXIS,Livslön (milj. kr),Round the salary to millions + one decimal
CHART1_X_AXIS,Yrkesgrupp,
CHART2_Y_AXIS,Månadslön,
CHART2_X_AXIS,Yrkesgrupp,
CHART3_Y_AXIS,Livslön jämfört med gymnasieutbildad,"1.051 => +5,1%
0,983 => -1,7%"""
CHART3_X_AXIS,Lönespridning (P90/P10),
