"name","value","group"
"Agronom",15854009,
"Akademiker totalt",16223818,
"Apotekare",19554438,
"Arbetsterapeut",12762398,
"Arkitekt",15711297,
"Bibliotekarie och informationsvetare",12712786,
"Biolog",13844452,
"Biomedicinsk analytiker",13403030,
"Civilingenjör",20137201,
"Datavetare",16793941,
"Ekonom",19989488,
"Geovetare",14667154,
"Humanist",13793172,"humanities"
"Högskoleingenjör",16328057,
"Högstadie- och gymnasielärare",13605697,"education"
"Journalist",15669509,
"Jurist",19973281,
"Kemist",14789428,
"Konstvetare",12529832,"humanities"
"Låg- och mellanstadielärare",13000689,"education"
"Läkare",22673471,
"Lärare i praktiskt-estetiskt ämne",13193533,"education"
"Matematiker och statistiker",16386927,
"Organisation administration & förvaltning",17640690,
"Psykolog",15401912,
"Receptarie",14095327,
"Samhälls- och beteendevetare",15884309,
"Sjukgymnast",13188139,"healthcare"
"Sjuksköterska",14117263,"healthcare"
"Social omsorg ",13507947,"social"
"Socionom",13979118,"social"
"Systemvetare",17296908,
"Tandhygienist",12657274,
"Tandläkare",17797157,
"Teolog",14438842,"humanities"
"Veterinär",16323231,
"Yrkeslärare",13661118,"education"
