name,count,p10,q1,median,mean,q3,p90
Lärarutbildning för grundskolans tidigare år,51783,21700,23430,25708,26464.35,28450,30910
Lärarutbildning för grundskolans senare år och gymnasiet,41326,23000,24800,27100,28441.91,30300,34346
Utbildning för lärare i praktiskt estetiskt ämne,16604,23500,25300,27393,28298.04,29620,33000
Speciallärar- och specialpedagogutbildning,11270,25750,27395,29300,29611.50,31065,33000
Yrkeslärarutbildning,9894,24745,27000,29000,30358.69,31700,37270
Humanistisk högskoleutbildning,10203,20800,23400,27090,29341.32,32450,40000
Konstnärlig utbildning,4662,21335,24000,26800,28683.46,31825,38000
Medieproduktion,482,17975,21800,25700,26571.12,31000,34350
Teologisk högskoleutbildning,4020,22066,25450,30675,31519.10,35600,42000
Biblioteks- och informationsvetenskaplig högskoleutbildning,4798,22000,24035,25943,27145.56,28700,33760
Ekonomutbildning,44213,24000,28500,36541,44155.19,49462,70000
"Högskoleutb för organisation, administration och förvaltning",9633,25310,29500,36150,40783.91,46144,61000
Juridisk högskoleutbildning,16897,24500,29500,38500,44238.54,51500,69580
Journalist- och medieutbildning,3283,21000,23900,27400,29790.04,33076,39373
Psykologutbildning,5082,26050,29300,32091,33827.38,35525,40000
Samhälls- och beteendevetenskaplig utbildning,23524,22050,24900,29650,34248.91,37000,50700
Biologutbildning,5179,21462,23600,26358,28520.30,31250,37700
Systemvetenskaplig utbildning,6653,25000,29336,35099,38089.08,43000,52708
Fysikerutbildning,704,22000,26049,35168,35273.69,40000,48474
Geovetenskaplig utbildning,1377,21800,25300,29750,31841.30,37000,41690
Kemistutbildning,2126,22500,25458,30545,33048.96,37893,47000
Matematiker och statistiker,1568,20045,26313,32580,36515.22,43658,54749
Datavetenskaplig utbildning,1977,25897,29700,34500,37536.89,41564,51200
Arkitektutbildning,1763,25500,29000,33659,35045.80,39107,47200
"Civilingenjörsutb - väg och vatten, byggnad, lantmäteri",8625,27500,32236,39900,44506.42,49950,65441
Civilingenjörsutb - maskin. fordon-farkost o ind ekonomi,16743,28000,34000,42025,47759.24,53800,70050
"Civilingenjörsutb - tekn fysik, elektro och datateknik",18631,28000,32430,41000,44284.62,50852,62641
"Civilingenjörsutb - kemi- o bioteknik, material- o bergstekn",6752,25200,30700,39000,43307.31,49725,64406
Civilingenjörsutb - okänd inriktning,3242,21600,25000,33853,38743.75,45309,60051
"Ingenjörsutb - väg och vatten, byggnad, lantmäteri",4710,24500,27400,31000,33501.42,37368,45004
Ingenjörsutb - maskin. fordon-farkost o ind ekonomi,7855,23780,26990,31494,33653.25,37624,46077
"Ingenjörsutb - tekn fysik, elektro och datateknik",13290,24926,28500,33000,34716.28,39080,46000
"Ingenjörsutb - kemi- o bioteknik, material- o bergstekn",1980,22800,25300,29000,30887.98,34150,41415
Ingenjörsutb - okänd inriktning,835,19700,23352,31000,34874.76,43840,60000
Agronom- och hortonomutbildning,2042,22825,26000,30100,34360.77,38200,49942
Skogsvetenskaplig utbildning,1160,18554,25425,30500,35955.33,40000,57203
Veterinärutbildnining,1125,18660,26700,34000,34739.96,40000,50000
Apotekarutbildning,1530,25300,30000,36660,41193.53,47042,60660
Arbetsterapeututbildning,7679,22300,23700,25200,25944.15,27000,30000
Biomedicinsk analytikerutbildning,9072,22550,24200,26114,27656.91,29061,34601
Läkarutbildning,21903,33000,39642,56754,54809.34,65000,74198
Receptarieutbildning,2489,22304,24917,27776,29859.80,32152,39218
Sjukgymnastutbildning,7768,22000,23800,25785,26834.10,28050,31687
Sjuksköterskeutbildning,93921,23688,25775,28000,29133.67,30985,35200
Social omsorgsutbildning,9304,21827,24035,26864,27941.11,30700,34820
Socionomutbildning,25112,23000,24900,27250,28916.80,30250,36300
Tandhygienistutbildning,2345,20900,23324,25450,25444.86,27000,29000
Tandläkarutbildning,3988,30000,33393,39400,40496.69,45000,54100
Gymn utb Naturvet,21027,18355,21315,25000,28266.98,31100,40500
Gymn utb Samhvet,115170,19106,21351,24415,27598.83,29949,38943
Gymnasieutbildade,136197,19000,21350,24500,27704.09,30000,39294
Akademiker,525307,22818,25470,29591,34840.79,38242,52588
Civilingenjörsutbildning,53409,27025,32078,40410,45013.42,51171,65240
Ingenjörsutbildning,19774,24000,27389,31900,33923.98,38264,46000
